iter	Logloss
0	0.6912925138
1	0.6895789947
2	0.6878022343
3	0.686190563
4	0.6844340252
5	0.682906553
6	0.6812306599
7	0.6796222978
8	0.6781911582
9	0.6763973006
10	0.6748834327
11	0.6734236752
12	0.6721332351
13	0.6706289268
14	0.6690510823
15	0.6677023034
16	0.666290467
17	0.665036121
18	0.6637257036
19	0.662027811
20	0.660731059
21	0.6594293433
22	0.6582039829
23	0.6567032289
24	0.6553359434
25	0.6540307348
26	0.6526738669
27	0.6514013819
28	0.650178105
29	0.6488485681
30	0.6476961312
31	0.6465745183
32	0.6457275636
33	0.6446984226
34	0.6436604573
35	0.6426218791
36	0.6414242174
37	0.6403299967
38	0.6392624943
39	0.6380990882
40	0.6371212389
41	0.6362423571
42	0.6352388926
43	0.6342752602
44	0.6332752274
45	0.6322275185
46	0.6312556746
47	0.6301826569
48	0.6292553637
49	0.6283494574
50	0.6272716599
51	0.6263593191
52	0.625396606
53	0.624431748
54	0.6236650704
55	0.6227557937
56	0.6219661973
57	0.6211219389
58	0.6202837473
59	0.6193615404
60	0.618572373
61	0.617766905
62	0.6168554835
63	0.6160034425
64	0.6153060729
65	0.614455564
66	0.6136477061
67	0.6129741132
68	0.6121078552
69	0.6112485832
70	0.6104171324
71	0.6096147284
72	0.6089364783
73	0.6080575353
74	0.6074836455
75	0.606711943
76	0.6058779184
77	0.605046774
78	0.6043187643
79	0.6035590114
80	0.6028131692
81	0.6021213761
82	0.6014613875
83	0.6008513424
84	0.6002322277
85	0.5996110296
86	0.5989989009
87	0.5982925231
88	0.5976154986
89	0.597084505
90	0.5963938763
91	0.5957207737
92	0.5950360279
93	0.5944607287
94	0.5937298388
95	0.5932848214
96	0.5927146697
97	0.5921275434
98	0.5916756626
99	0.5911077783
