iter	Passed	Remaining
0	3	338
1	5	280
2	8	262
3	10	250
4	12	241
5	15	241
6	17	238
7	20	235
8	22	231
9	25	228
10	27	224
11	30	222
12	32	218
13	35	215
14	37	212
15	39	209
16	42	206
17	44	204
18	47	201
19	49	199
20	52	196
21	54	193
22	56	190
23	59	188
24	61	185
25	64	182
26	66	180
27	69	177
28	71	174
29	73	172
30	76	169
31	78	166
32	80	164
33	83	161
34	85	158
35	88	156
36	90	154
37	93	152
38	95	149
39	97	146
40	100	144
41	102	141
42	105	139
43	107	136
44	110	135
45	113	132
46	115	130
47	117	127
48	120	125
49	122	122
50	124	119
51	127	118
52	130	115
53	133	113
54	135	110
55	137	108
56	141	106
57	143	103
58	146	101
59	148	98
60	150	96
61	153	93
62	155	91
63	158	89
64	160	86
65	163	84
66	165	81
67	168	79
68	170	76
69	173	74
70	175	71
71	178	69
72	180	66
73	182	64
74	185	61
75	188	59
76	190	56
77	192	54
78	195	51
79	198	49
80	200	47
81	203	44
82	205	42
83	207	39
84	210	37
85	212	34
86	214	32
87	217	29
88	219	27
89	222	24
90	224	22
91	227	19
92	229	17
93	232	14
94	234	12
95	236	9
96	239	7
97	241	4
98	244	2
99	246	0
